service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Saturday ,  574,    6416,   16028,13,11   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6416,   16028,13,22   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6416,   16028,13,27   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6428,   16015,18,52   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6428,   16015,19,03   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6428,   16015,19,16   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6428,   16015,19,31   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6428,   16015,19,37   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6428,   16015,19,40   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6428,   16015,19,51   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6428,   16015,19,56   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6404,   16003, 3,38   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6404,   16003, 3,48   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6404,   16003, 4,00   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6404,   16003, 4,15   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6404,   16003, 4,21   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6404,   16003, 4,24   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6404,   16003, 4,33   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6404,   16003, 4,38   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  560,    6129,   16027,14,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6129,   16027,14,56   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6129,   16027,15,01   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6129,   16027,15,17   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6129,   16027,15,34   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6129,   16027,15,52   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6129,   16027,16,09   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6121,   16004, 6,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6121,   16004, 6,52   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6121,   16004, 6,55   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6121,   16004, 7,06   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6121,   16004, 7,21   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6121,   16004, 7,35   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6121,   16004, 7,51   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6125,   16007,10,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6125,   16007,10,53   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6125,   16007,10,56   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6125,   16007,11,10   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6125,   16007,11,27   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6125,   16007,11,43   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6125,   16007,12,00   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6127,   16004,12,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6127,   16004,12,54   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6127,   16004,12,58   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6127,   16004,13,14   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6127,   16004,13,31   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6127,   16004,13,49   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6127,   16004,14,06   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6128,   16025,13,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6128,   16025,13,56   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6128,   16025,14,01   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6128,   16025,14,18   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6128,   16025,14,35   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6128,   16025,14,53   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6128,   16025,15,10   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6126,   16024,11,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6126,   16024,11,53   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6126,   16024,11,57   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6126,   16024,12,13   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6126,   16024,12,30   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6126,   16024,12,47   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6126,   16024,13,04   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6122,   16007, 7,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6122,   16007, 7,52   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6122,   16007, 7,55   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6122,   16007, 8,07   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6122,   16007, 8,22   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6122,   16007, 8,36   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6122,   16007, 8,52   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6123,   16005, 8,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6123,   16005, 8,52   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6123,   16005, 8,55   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6123,   16005, 9,07   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6123,   16005, 9,22   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6123,   16005, 9,37   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6123,   16005, 9,53   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6124,   16004, 9,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6124,   16004, 9,52   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6124,   16004, 9,55   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6124,   16004,10,07   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6124,   16004,10,22   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6124,   16004,10,38   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6124,   16004,10,55   ,Westwood Village Bay 2,26Bart,          7,West
